StudentID,Age,Gender,ParentalEducation,StudyTimeWeekly,StudyTimeWeeklyCategory,Absences,AbsencesCategory,Tutoring,ParentalSupport,ExtracurricularCategory,Extracurricular,Sports,Music,Volunteering,Year Level,Previous Grades,GPA,GradeClassCategory,GradeCategory,GradeClass,Subject
1001,17,1,2,19.83372281,2,7,1,1,2,0,0,0,1,0,3,3.110546046,2.929195592,2,1,2,2
1002,18,0,1,15.40875606,0,0,0,0,1,1,0,0,0,0,2,2.483847942,3.042914833,1,0,1,1
1003,15,0,3,4.210569769,1,26,2,0,2,0,0,0,0,0,1,0.1316324678,0.1126022545,4,4,4,3
1004,17,1,3,10.02882947,0,14,2,0,3,0,1,0,0,0,2,2.080096876,2.05421814,3,2,3,1
1005,17,1,2,4.672495273,1,17,2,1,3,0,0,0,0,0,3,1.318993892,1.288061182,4,3,4,1
1006,18,0,1,8.191218545,2,0,0,0,1,0,1,0,0,0,2,3.034978134,3.084183614,1,0,1,3
1007,15,0,1,15.60168047,2,10,1,0,3,0,0,1,0,0,2,2.925928117,2.748237415,2,1,2,3
1008,15,1,4,15.42449631,0,22,2,1,1,1,1,0,0,0,3,1.114310838,1.360142712,4,3,4,3
1009,17,0,0,4.562007558,2,1,0,0,2,0,0,1,0,1,3,3.251189599,2.89681919,2,1,2,3
1010,16,1,1,18.44446636,1,0,0,0,3,1,1,0,0,0,3,3.866765646,3.57347421,0,0,0,1
1011,17,0,1,11.85136366,1,11,1,0,1,0,0,0,0,0,3,2.03283094,2.147171625,3,2,3,2
1012,17,0,1,7.598485819,1,15,2,0,2,0,0,0,0,1,2,1.822198968,1.559594519,4,2,4,3
1013,17,0,1,10.03871162,1,21,2,0,3,1,1,0,0,0,3,1.230889401,1.520077815,4,2,4,2
1014,17,0,2,12.10142507,1,21,2,0,4,0,0,1,0,0,2,1.943833128,1.751580958,4,2,4,2
1015,18,1,1,11.19781064,1,9,1,1,2,1,0,0,0,0,2,2.830855725,2.396788117,3,1,3,3
1016,15,0,2,9.728100711,1,17,2,1,0,0,0,1,0,0,2,1.396961292,1.341520717,4,3,4,1
1017,18,0,1,10.09865608,0,14,2,0,2,1,1,1,0,0,4,2.562579585,2.232175278,3,1,3,2
1018,18,1,0,3.528238209,2,16,2,1,2,1,0,0,0,0,3,1.652248238,1.384404176,4,3,4,3
1019,18,0,3,16.25465809,1,29,2,0,2,0,1,0,0,1,3,0.4128861407,0.4695533234,4,4,4,1
1020,17,0,1,10.8352064,0,9,1,0,2,1,0,0,1,0,1,1.926283288,2.395784095,3,1,3,3
1021,16,1,3,2.621597234,2,2,0,0,3,1,0,0,0,1,1,2.930352964,2.7784113,2,1,2,2
1022,15,0,2,15.32314203,2,25,2,0,1,1,1,0,0,0,4,0.3765191753,0.3468940367,4,4,4,3
1023,16,1,0,18.64887957,2,29,2,1,1,0,0,0,0,0,2,0.3086667891,0.3125462305,4,4,4,1
1024,18,1,4,18.94613798,1,20,2,0,2,0,1,0,0,0,3,1.474986698,1.770131877,4,2,4,3
1025,18,1,1,7.380354648,0,15,2,0,2,0,0,0,0,0,2,1.534915873,1.505155622,4,2,4,3
1026,16,1,3,2.710337471,1,5,0,0,4,0,0,0,1,0,4,3.123286647,2.977851918,2,1,2,3
1027,16,0,1,10.36799253,0,2,0,0,2,1,0,1,0,0,4,3.144359105,2.948717672,2,1,2,3
1028,16,1,3,2.252184587,2,8,1,0,3,1,0,0,1,0,2,1.910542372,2.14520472,3,2,3,3
1029,18,0,0,18.67974837,0,10,1,0,3,1,1,0,0,0,4,2.879424915,2.854803929,2,1,2,1
1030,18,0,2,3.671592547,0,20,2,0,3,0,1,0,0,0,1,1.679932288,1.519441726,4,2,4,2
1031,15,0,2,5.055317199,1,12,2,1,0,0,0,1,0,0,3,2.055241096,1.72712031,4,2,4,2
1032,15,0,3,8.132730538,1,17,2,0,4,1,0,0,0,1,3,1.760381983,1.847535471,4,2,4,1
1033,18,0,3,7.663289371,2,25,2,0,1,1,0,1,0,0,3,0.3254571359,0.3846169729,4,4,4,1
1034,16,0,3,15.89325785,1,21,2,0,0,1,1,1,0,0,3,1.106594838,0.9494060978,4,3,4,2
1035,16,0,3,9.126336411,0,27,2,1,2,1,1,1,0,0,4,1.290099755,1.140959418,4,3,4,3
1036,15,0,1,3.4153652,0,23,2,0,1,1,0,0,0,0,1,0.3027025708,0.2614722601,4,4,4,3
1037,18,0,1,5.34419791,1,26,2,1,1,0,0,0,0,0,2,0.2114693221,0.2182848568,4,4,4,1
1038,15,0,1,10.1822677,0,21,2,1,1,0,0,1,0,0,1,1.083049889,1.067763551,4,3,4,2
1039,15,1,1,2.949078349,1,3,0,1,1,1,1,1,0,0,1,3.435578709,3.018905858,1,0,1,2
1040,17,1,1,12.23311351,1,21,2,1,3,1,1,1,0,0,4,1.507459038,1.526867832,4,2,4,2
1041,17,1,2,11.31494613,2,23,2,1,1,1,0,0,0,0,4,1.093293244,1.0582874,4,3,4,1
1042,17,0,1,14.29404633,2,7,1,0,2,0,0,0,0,0,1,2.376635756,2.625128098,2,1,2,2
1043,16,1,2,18.75409231,2,12,2,1,4,0,0,0,0,0,1,2.765610196,2.808754822,2,1,2,2
1044,18,1,1,18.24509122,2,9,1,0,2,0,0,1,0,0,3,2.849117538,2.888891669,2,1,2,3
1045,18,1,1,18.92151236,0,1,0,1,3,1,1,1,0,0,3,4.351836388,4,0,0,0,1
1046,18,0,2,4.89431194,0,7,1,0,4,1,0,0,1,0,3,2.473057755,2.515300272,2,1,2,2
1047,18,0,2,2.631306133,0,5,0,0,1,1,1,0,0,0,1,2.365285816,2.56376543,2,1,2,3
1048,17,0,2,6.04553401,2,15,2,0,2,0,0,0,0,0,1,1.703397293,1.703611803,4,2,4,3
